中文名,标准缩写,去掉空格的缩写,全名,全名，把逗号换成了空格,专长类群,工作单位,姓,名
？王彬,B. Wang,B.Wang,"Wang, Bin",Wang Bin,S,,Wang,Bin
【空】,A. Benn.,A.Benn.,"Bennett, Arthur",Bennett Arthur,S,,Bennett,Arthur
【空】,A. Berger,A.Berger,"Berger, Alwin",Berger Alwin,S,,Berger,Alwin
【空】,A. Br.,A.Br.,"Brown, Addison",Brown Addison,S,,Brown,Addison
【空】,A. Braun,A.Braun,"Braun, Alexander Karl (Carl) Heinrich",Braun Alexander Karl (Carl) Heinrich,ABFMPS,,Braun,Alexander Karl (Carl) Heinrich
【空】,A. Camus,A.Camus,"Camus, Aimée, Antoninette",Camus Aimée Antoninette,S,,Camus,"Aimée, Antoninette"
【空】,A. Chev.,A.Chev.,"Chevalier, Auguste Jean Baptiste",Chevalier Auguste Jean Baptiste,BPS,,Chevalier,Auguste Jean Baptiste
【空】,A. Cunn.,A.Cunn.,"Cunningham, Allan",Cunningham Allan,APS,,Cunningham,Allan
【空】,A. Das,A.Das,"Das, Anjali",Das Anjali,PS,,Das,Anjali
【空】,A. DC.,A.DC.,"de Candolle, Alphonse Louris Pierre Pyramus",de Candolle Alphonse Louris Pierre Pyramus,S,,de Candolle,Alphonse Louris Pierre Pyramus
【空】,A. Dietr.,A.Dietr.,"Dietrich, Albert Gouttfried",Dietrich Albert Gouttfried,MS,,Dietrich,Albert Gouttfried
【空】,A. Froehner,A.Froehner,"Froehner, Albrecht",Froehner Albrecht,S,,Froehner,Albrecht
【空】,A. Gibson,A.Gibson,"Gibson, Alexander",Gibson Alexander,S,,Gibson,Alexander
【空】,A. Hay,A.Hay,"Hay, A.",Hay A.,S,,Hay,A.
【空】,A. Heller,A.Heller,"Heller, Amos Arthur",Heller Amos Arthur,PS,,Heller,Amos Arthur
【空】,A. Henry,A.Henry,"Henry, Augustine",Henry Augustine,S,,Henry,Augustine
【空】,A. Juss.,A.Juss.,"Jussieu, Adrien Henri Laurent de",Jussieu Adrien Henri Laurent de,S,,Jussieu,Adrien Henri Laurent de
【空】,A. Kern.,A.Kern.,"Kerner, Anton Joseph",Kerner Anton Joseph,BPS,,Kerner,Anton Joseph
【空】,A. Murray bis,A.Murraybis,"Murray, Andew",Murray Andew,S,,Murray,Andew
【空】,A. Nelson,A.Nelson,"Nelson, Aven",Nelson Aven,MPS,,Nelson,Aven
【空】,A. R. Brach,A.R.Brach,,,,,,
【空】,A. Spire,A.Spire,"Spire, André",Spire André,S,,Spire,André
【空】,A. St.-Hil.,A.St.-Hil.,"Saint-Hilaire, Auguste Francois César Prouvencal de",Saint-Hilaire Auguste Francois César Prouvencal de,MPS,,Saint-Hilaire,Auguste Francois César Prouvencal de
【空】,W. A. Weber,W.A.Weber,"Weber, William Alfred",Weber William Alfred,MS,,Weber,William Alfred
【空】,A. A. Eaton,A.A.Eaton,"Eaton, Alvah Augustus",Eaton Alvah Augustus,PS,,Eaton,Alvah Augustus
【空】,A. B. Jacks.,A.B.Jacks.,"Jackson, Albert Bruce",Jackson Albert Bruce,BMS,,Jackson,Albert Bruce
【空】,A. C. Sm.,A.C.Sm.,"Smith, Albert Charles",Smith Albert Charles,PS,,Smith,Albert Charles
【空】,A. D. Hawkes,A.D.Hawkes,"Hawkes, Alex Drum",Hawkes Alex Drum,PS,,Hawkes,Alex Drum
【空】,A. H. Moore,A.H.Moore,"Moore, Albert Hanford",Moore Albert Hanford,PS,,Moore,Albert Hanford
【空】,Bonpl.,Bonpl.,"Bonpland, Aimé Jacques Alexandre (né Goujaud, A. J. A.)",Bonpland Aimé Jacques Alexandre (né Goujaud A. J. A.),APS,,Bonpland,"Aimé Jacques Alexandre (né Goujaud, A. J. A.)"
【空】,Boom,Boom,"Boom, Boudewijn Karel",Boom Boudewijn Karel,S,,Boom,Boudewijn Karel
【空】,Booth,Booth,"Booth, William Beattie",Booth William Beattie,S,,Booth,William Beattie
【空】,Boott,Boott,"Boott, Francis M. B.",Boott Francis M. B.,S,,Boott,Francis M. B.
【空】,Borb.,Borb.,,,,,,
【空】,Bordz.,Bordz.,"Bordzilowski, Eugen Iwanowitsch",Bordzilowski Eugen Iwanowitsch,S,,Bordzilowski,Eugen Iwanowitsch
【空】,Boreau,Boreau,"Boreau, Alexandre",Boreau Alexandre,PS,,Boreau,Alexandre
【空】,Boriss,Boriss,"Borisova, Antonina Georgievna",Borisova Antonina Georgievna,S,,Borisova,Antonina Georgievna
【空】,Borkh.,Borkh.,"Borkhausen, Moritz (Miriz) Balthasar",Borkhausen Moritz (Miriz) Balthasar,BPS,,Borkhausen,Moritz (Miriz) Balthasar
【空】,Bornm.,Bornm.,"Bornmüller, Joseph Friedrich Nicolaus",Bornmüller Joseph Friedrich Nicolaus,BMS,,Bornmüller,Joseph Friedrich Nicolaus
【空】,Borodina,Borodina,"Borodina, A. E.(later Grabovskaja, A. E.)",Borodina A. E.(later Grabovskaja A. E.),S,,Borodina,"A. E.(later Grabovskaja, A. E.)"
【空】,Borss.,Borss.,,,,,,
【空】,Borss. Waalk.,Borss.Waalk.,"Borssum Waalkes, Jan van",Borssum Waalkes Jan van,PS,,Borssum Waalkes,Jan van
【空】,Bory,Bory,"Bory de Saint-Vincent, Jean Bapiste Georges Geneviève Marcellin",Bory de Saint-Vincent Jean Bapiste Georges Geneviève Marcellin,AMPS,,Bory de Saint-Vincent,Jean Bapiste Georges Geneviève Marcellin
【空】,Borza,Borza,"Borza, Alexandru",Borza Alexandru,BS,,Borza,Alexandru
【空】,Bosman,Bosman,"Bosman, M. T. M.",Bosman M. T. M.,S,,Bosman,M. T. M.
【空】,Bosser,Bosser,"Bosser, Jean M.",Bosser Jean M.,S,,Bosser,Jean M.
【空】,Bosch,Bosch,"Bosch, Roelof Benjamin van den",Bosch Roelof Benjamin van den,BMPS,,Bosch,Roelof Benjamin van den
【空】,Bosse,Bosse,"Bosse, Julius Friedrich Wilhelm",Bosse Julius Friedrich Wilhelm,S,,Bosse,Julius Friedrich Wilhelm
【空】,Botsch.,Botsch.,"Botschantzev, Victor Petrovic",Botschantzev Victor Petrovic,S,,Botschantzev,Victor Petrovic
【空】,V. V. Botschantz.,V.V.Botschantz.,"Botschantzeva, Vera Viktorovna",Botschantzeva Vera Viktorovna,S,,Botschantzeva,Vera Viktorovna
【空】,Bouch.,Bouch.,Boucharlet,Boucharlet,S,,Boucharlet,
【空】,Boufford,Boufford,"Boufford, David E.",Boufford David E.,PS,,Boufford,David E.
【空】,Boulenger,Boulenger,"Boulenger, George Albert",Boulenger George Albert,S,,Boulenger,George Albert
【空】,Bowden,Bowden,"Bowden, Wray Merrill",Bowden Wray Merrill,S,,Bowden,Wray Merrill
【空】,R. Br.,R.Br.,"Brown, Robert",Brown Robert,BMPS,,Brown,Robert
【空】,Brack.,Brack.,"Brackenridge, William Dunlop",Brackenridge William Dunlop,PS,,Brackenridge,William Dunlop
【空】,Braem,Braem,"Braem, Guido J.",Braem Guido J.,S,,Braem,Guido J.
【空】,Brandegee,Brandegee,"Brandegee, Townshend Stith",Brandegee Townshend Stith,S,,Brandegee,Townshend Stith
【空】,Brandis,Brandis,"Brandis, Dietrich",Brandis Dietrich,S,,Brandis,Dietrich
,L. C. Li,L.C.Li,"Li, Liang Ching",Li Liang Ching,A,,Li,Liang Ching
【空】,L. C. Wheeler,L.C.Wheeler,"Wheeler, Louis Cutter",Wheeler Louis Cutter,S,,Wheeler,Louis Cutter
,L. D. Shen,L.D.Shen,"Shen, Lian Dai (Tai)",Shen Lian Dai (Tai),S,,Shen,Lian Dai (Tai)
【空】,L. E. Skog,L.E.Skog,"Skog, Laurence Edgar",Skog Laurence Edgar,S,,Skog,Laurence Edgar
【空】,L. F. Gagnep.,L.F.Gagnep.,"Gagnepain, L. Francois",Gagnepain L. Francois,S,,Gagnepain,L. Francois
【空】,L. H. Bailey,L.H.Bailey,"Bailey, Liberty Hyde",Bailey Liberty Hyde,PS,,Bailey,Liberty Hyde
【空】,L. H. Wu,L.H.Wu,,,,,,
,L. J. Zhou,L.J.Zhou,"Zhou, Li Jiang",Zhou Li Jiang,S,,Zhou,Li Jiang
,L. L. Deng,L.L.Deng,Deng Li lan,Deng Li lan,,SWFC,Deng Li lan,
【空】,L. M. Perry,L.M.Perry,"Perry, Lily May",Perry Lily May,PS,,Perry,Lily May
【空】,L. O. Williams,L.O.Williams,"Williams, Louis Otho (Otto)",Williams Louis Otho (Otto),BS,,Williams,Louis Otho (Otto)
【空】,Kundu,Kundu,"Kundu, Balsi Chand",Kundu Balsi Chand,AS,,Kundu,Balsi Chand
【空】,Kunth,Kunth,"Kunth, Karl (Carl) Sigismund",Kunth Karl (Carl) Sigismund,ABMPS,,Kunth,Karl (Carl) Sigismund
【空】,Kunze,Kunze,"Kunze, Gustav",Kunze Gustav,AMPS,,Kunze,Gustav
【空】,Kupr.,Kupr.,"Kuprianov, A. N.",Kuprianov A. N.,S,,Kuprianov,A. N.
【空】,Kuprian.,Kuprian.,"Kupriyanova, Lyudmila Andreyeva (Andreevna)",Kupriyanova Lyudmila Andreyeva (Andreevna),S,,Kupriyanova,Lyudmila Andreyeva (Andreevna)
【空】,Kurata,Kurata,"Kurata, S.",Kurata S.,M,,Kurata,S.
【空】,Kurita,Kurita,"Kurita, Siro",Kurita Siro,P,,Kurita,Siro
【空】,Kurz,Kurz,"Kurz, Wilhelm Sulpiz (see also Amann, J.)",Kurz Wilhelm Sulpiz (see also Amann J.),PS,,Kurz,"Wilhelm Sulpiz (see also Amann, J.)"
【空】,Kusaka,Kusaka,"Kusaka, Masao",Kusaka Masao,S,,Kusaka,Masao
【空】,Kusn.,Kusn.,"Kusnetzou, Nicolai Ivanovitch",Kusnetzou Nicolai Ivanovitch,PS,,Kusnetzou,Nicolai Ivanovitch
【空】,Kuzen.,Kuzen.,"Kuzeneva-Prochorova, Olga Iakinfovna",Kuzeneva-Prochorova Olga Iakinfovna,PS,,Kuzeneva-Prochorova,Olga Iakinfovna
【空】,L.,L.,"Linné, Carl von",Linné Carl von,ABMPS,,Linné,Carl von
【空】,L. C. Rich.？,L.C.Rich.？,,,,,,
【空】,L. Castle,L.Castle,,,,,,
【空】,L. f.,L.f.,"Linnaeus, Carl von",Linnaeus Carl von,ABMPS,,Linnaeus,Carl von
【空】,L. Henry,L.Henry,"Henry, Louis",Henry Louis,S,,Henry,Louis
【空】,L. Linden,L.Linden,"Linden, Lucien",Linden Lucien,S,,Linden,Lucien
【空】,L. Rodr.,L.Rodr.,,,,,,
【空】,L. A. S. Johnson,L.A.S.Johnson,"Johnson, Lawrence Alexander Sidney",Johnson Lawrence Alexander Sidney,S,,Johnson,Lawrence Alexander Sidney
【空】,L. B. Sm.,L.B.Sm.,"Smith, Lyman Bradford",Smith Lyman Bradford,PS,,Smith,Lyman Bradford
【空】,L. B. Stewart,L.B.Stewart,,,,,,
,X. H. Lai,X.H.Lai,"Lai, Xing Hua",Lai Xing Hua,,,Lai,Xing Hua
,X. H. Lu,X.H.Lu,"Lu, Xian Huai",Lu Xian Huai,M,,Lu,Xian Huai
,X. L. Tao,X.L.Tao,"Tao, Xiu Liu",Tao Xiu Liu,S,,Tao,Xiu Liu
,X. M. Wang,X.M.Wang,"Wang, Xiao Ming",Wang Xiao Ming,M,,Wang,Xiao Ming
,L. Z. Gao,L.Z.Gao,"Gao, L. Z.",Gao L. Z.,S,,Gao,L. Z.
,L. Z. Shue,L.Z.Shue,"Shue, Long Zhan",Shue Long Zhan,S,,Shue,Long Zhan
,L. Z. Wang,L.Z.Wang,"Wang, L. Z.",Wang L. Z.,S,,Wang,L. Z.
【空】,La Frankie,LaFrankie,,,,,,
【空】,La Llave,LaLlave,"La Llave, Pablo de",La Llave Pablo de,S,,La Llave,Pablo de
【空】,Labill.,Labill.,"Labillardière, Jacques Julien Houtton de",Labillardière Jacques Julien Houtton de,AMPS,,Labillardière,Jacques Julien Houtton de
【空】,Lacaita,Lacaita,"Lacaita, Charles Carmichael",Lacaita Charles Carmichael,PS,,Lacaita,Charles Carmichael
【空】,Lacass.,Lacass.,"Lacassagne, Marcel",Lacassagne Marcel,S,,Lacassagne,Marcel
【空】,Lace,Lace,"Lace, John Henry",Lace John Henry,S,,Lace,John Henry
【空】,Lacksch.,Lacksch.,,,,,,
【空】,Ladygina,Ladygina,"Ladygina, G. M.",Ladygina G. M.,S,,Ladygina,G. M.
【空】,Laest.,Laest.,"Laestadius, Lars Levi",Laestadius Lars Levi,PS,,Laestadius,Lars Levi
【空】,St.-Lag.,St.-Lag.,"St.-Lager, Jean Baptiste",St.-Lager Jean Baptiste,PS,,St.-Lager,Jean Baptiste
【空】,Lagger,Lagger,"Lagger, Franz Joseph",Lagger Franz Joseph,MS,,Lagger,Franz Joseph
【空】,Laharpe,Laharpe,"Laharpe, Jean Jacques Charles de",Laharpe Jean Jacques Charles de,S,,Laharpe,Jean Jacques Charles de
【空】,Lam.,Lam.,"Lamarck, Jean Baptiste Antoine Pierre de Monnet de",Lamarck Jean Baptiste Antoine Pierre de Monnet de,AMPS,,Lamarck,Jean Baptiste Antoine Pierre de Monnet de
【空】,Lamb.,Lamb.,"Lambert, Aylmer Bourke",Lambert Aylmer Bourke,S,,Lambert,Aylmer Bourke
【空】,Lammers,Lammers,"Lammers, Thomas G.",Lammers Thomas G.,S,,Lammers,Thomas G.
【空】,Lange,Lange,"Lange, Johan Martin Christian",Lange Johan Martin Christian,ABMPS,,Lange,Johan Martin Christian
【空】,Langsd.,Langsd.,"Langsdorff, Georg Heinrich von",Langsdorff Georg Heinrich von,PS,,Langsdorff,Georg Heinrich von
【空】,Lassen,Lassen,"Lassen, Per",Lassen Per,S,,Lassen,Per
【空】,Lat-Marl.,Lat-Marl.,"Latour-Marliac, Joseph (Bory)",Latour-Marliac Joseph (Bory),S,,Latour-Marliac,Joseph (Bory)
【空】,Lauche,Lauche,"Lauche, (Friedrich) Wihelm (Georg)",Lauche (Friedrich) Wihelm (Georg),PS,,Lauche,(Friedrich) Wihelm (Georg)
【空】,Lauener,Lauener,"Lanener, Lucien André (Andrew)",Lanener Lucien André (Andrew),S,,Lanener,Lucien André (Andrew)
【空】,S. P. Hong,S.P.Hong,"Hong, Suk Pyo",Hong Suk Pyo,S,,Hong,Suk Pyo
【空】,S. N. Biswas,S.N.Biswas,"Biswas, Samarendra Nath",Biswas Samarendra Nath,AS,,Biswas,Samarendra Nath
【空】,S. S. Larsen,S.S.Larsen,"Larsen, Suppee Saksuwan",Larsen Suppee Saksuwan,S,,Larsen,Suppee Saksuwan
【空】,S. T. Blake,S.T.Blake,"Blake, Stanley Thatcher",Blake Stanley Thatcher,S,,Blake,Stanley Thatcher
【空】,S. T. Fang,S.T.Fang,"Fang, Si Tzen",Fang Si Tzen,A,,Fang,Si Tzen
【空】,S. W. Chung（台湾人）,S.W.Chung（台湾人）,,,,,,
【空】,Vierh.,Vierh.,"Vierhapper, Friedrich (Karl Max)",Vierhapper Friedrich (Karl Max),S,,Vierhapper,Friedrich (Karl Max)
【空】,Vig.,Vig.,"Viguier, L. G. Alexandre",Viguier L. G. Alexandre,S,,Viguier,L. G. Alexandre
【空】,Vignolo,Vignolo,"Vignolo-Lautati, Ferdinando",Vignolo-Lautati Ferdinando,PS,,Vignolo-Lautati,Ferdinando
【空】,Viguie（Viguié）,Viguie（Viguié）,"Viguié, M.-Th？",Viguié M.-Th？,,,Viguié,M.-Th？
【空】,Viguié,Viguié,"Viguié, M.-Th",Viguié M.-Th,S,,Viguié,M.-Th
【空】,Vill.,Vill.,"Villar, Domnique",Villar Domnique,AMPS,,Villar,Domnique
【空】,Villar,Villar,"Villar y Serratacó, Emile (Emilio) Huguet del",Villar y Serratacó Emile (Emilio) Huguet del,S,,Villar y Serratacó,Emile (Emilio) Huguet del
【空】,Vilm.,Vilm.,"Vilmorin, (Pierre) Louis (Francois Lévêque) de",Vilmorin (Pierre) Louis (Francois Lévêque) de,S,,Vilmorin,(Pierre) Louis (Francois Lévêque) de
【空】,Vis.,Vis.,"Visiani, Roberto de",Visiani Roberto de,PS,,Visiani,Roberto de
【空】,Viv.,Viv.,"Viviani, Domenico",Viviani Domenico,MPS,,Viviani,Domenico
【空】,Vogel,Vogel,"Vogel, (Julius Rudolph) Theodor",Vogel (Julius Rudolph) Theodor,S,,Vogel,(Julius Rudolph) Theodor
【空】,Vogt,Vogt,"Vogt, Robert M.",Vogt Robert M.,S,,Vogt,Robert M.
【空】,Voigt,Voigt,"Voigt, Joachim (Johann) Otto",Voigt Joachim (Johann) Otto,PS,,Voigt,Joachim (Johann) Otto
【空】,Volkens,Volkens,"Volkens, Georg Ludwig August",Volkens Georg Ludwig August,S,,Volkens,Georg Ludwig August
【空】,Vorosch.,Vorosch.,"Voroshilov, Vladimir N.",Voroshilov Vladimir N.,S,,Voroshilov,Vladimir N.
【空】,Voss,Voss,"Voss, Andreas",Voss Andreas,S,,Voss,Andreas
【空】,Vreis,Vreis,,,,,,
【空】,Vrishcz,Vrishcz,"Vrishcz, D. L.",Vrishcz D. L.,S,,Vrishcz,D. L.
【空】,Vved.,Vved.,"Vvedenskii, Aleksei Ivanovich",Vvedenskii Aleksei Ivanovich,S,,Vvedenskii,Aleksei Ivanovich
【空】,W. Becker,W.Becker,"Backer, Wilhelm",Backer Wilhelm,S,,Backer,Wilhelm
【空】,W. F. Lin,W.F.Lin,,,,,,
【空】,W. Hempel,W.Hempel,"Hempel, Werner",Hempel Werner,S,,Hempel,Werner
【空】,W. Jones,W.Jones,"Jones, Walter",Jones Walter,M,,Jones,Walter
【空】,W. Kittr.,W.Kittr.,"Kittredge, Walter",Kittredge Walter,S,,Kittredge,Walter
【空】,W. Koch,W.Koch,"Koch, Walo",Koch Walo,PS,,Koch,Walo
【空】,W. Limpr.,W.Limpr.,,,,,,
【空】,W. Sauer,W.Sauer,"Sauer, Wilhelm",Sauer Wilhelm,S,,Sauer,Wilhelm
【空】,Soskov,Soskov,"Soskov, Yurij (G.) D.",Soskov Yurij (G.) D.,S,,Soskov,Yurij (G.) D.
【空】,Soul.-Bod.,Soul.-Bod.,"Soulange-Bodin, étienne",Soulange-Bodin étienne,S,,Soulange-Bodin,étienne
【空】,Spach,Spach,"Spach, édouard",Spach édouard,PS,,Spach,édouard
【空】,Spaeth,Spaeth,,,,,,
【空】,Span.,Span.,"Spanoghe, Johan Baptist",Spanoghe Johan Baptist,S,,Spanoghe,Johan Baptist
【空】,Speg.,Speg.,"Spegazzini, Carlo Luigi (Carlos Luis)",Spegazzini Carlo Luigi (Carlos Luis),AFMS,,Spegazzini,Carlo Luigi (Carlos Luis)
【空】,Spenn.,Spenn.,"Spenner, Fridolin Carl Leopold",Spenner Fridolin Carl Leopold,PS,,Spenner,Fridolin Carl Leopold
【空】,Spenner,Spenner,,,,,,
【空】,Speta,Speta,"Speta, Franz",Speta Franz,S,,Speta,Franz
【空】,Spire,Spire,"Spire, Camille Joseph",Spire Camille Joseph,S,,Spire,Camille Joseph
【空】,Spongberg,Spongberg,"Spongberg, Stephen Alex",Spongberg Stephen Alex,S,,Spongberg,Stephen Alex
【空】,Sprague,Sprague,"Sprague, Thomas Archibald",Sprague Thomas Archibald,S,,Sprague,Thomas Archibald
【空】,Spreng.,Spreng.,"Sprengel, Curt (Kurt, Curtius) Polycarp Joachim",Sprengel Curt (Kurt Curtius) Polycarp Joachim,ABMPS,,Sprengel,"Curt (Kurt, Curtius) Polycarp Joachim"
【空】,Sprengel,Sprengel,,,,,,
【空】,Spring,Spring,"Spring, Anton Fredrich",Spring Anton Fredrich,PS,,Spring,Anton Fredrich
【空】,Sreek.,Sreek.,"Sreekumar, P. V.",Sreekumar P. V.,S,,Sreekumar,P. V.
【空】,St.-Amans,St.-Amans,"St.-Amans, Jean Florimond Boudon de",St.-Amans Jean Florimond Boudon de,AMS,,St.-Amans,Jean Florimond Boudon de
【空】,St.-Yves,St.-Yves,"St.-Yves, Afred (Marie Augustine)",St.-Yves Afred (Marie Augustine),S,,St.-Yves,Afred (Marie Augustine)
【空】,Stadelm.,Stadelm.,"Stadelmeyer, Ernst",Stadelmeyer Ernst,S,,Stadelmeyer,Ernst
【空】,Stainier,Stainier,"Stainier, F.",Stainier F.,S,,Stainier,F.
【空】,Standl.,Standl.,"Standley, Paul Carpenter",Standley Paul Carpenter,PS,,Standley,Paul Carpenter
【空】,Stapf,Stapf,"Stapf, Otto",Stapf Otto,BS,,Stapf,Otto
【空】,Staples,Staples,"Staples, George William",Staples George William,S,,Staples,George William
【空】,Stapleton,Stapleton,,,,,,
【空】,Starod.,Starod.,"Starodubtzev, V. N.",Starodubtzev V. N.,S,,Starodubtzev,V. N.
【空】,Staudt,Staudt,"Staudt, Günther",Staudt Günther,S,,Staudt,Günther
【空】,Staunton,Staunton,"Staunton, George Leonard",Staunton George Leonard,S,,Staunton,George Leonard
【空】,Stearn,Stearn,"Stearn, William Thomas",Stearn William Thomas,S,,Stearn,William Thomas
【空】,Stebbins,Stebbins,"Stebbins, George Ledyard",Stebbins George Ledyard,S,,Stebbins,George Ledyard
【空】,Stechm.,Stechm.,"Stechmann, Johannes (Johann) Paul",Stechmann Johannes (Johann) Paul,S,,Stechmann,Johannes (Johann) Paul
【空】,J. C. Wendl.,J.C.Wendl.,"Wendland, Johann Christoph",Wendland Johann Christoph,S,,Wendland,Johann Christoph
【空】,J. E. Vidal,J.E.Vidal,"Vidal, Jules Eugène",Vidal Jules Eugène,S,,Vidal,Jules Eugène
【空】,J. F. Gmel.,J.F.Gmel.,"Gmelin, Johann Friedrich",Gmelin Johann Friedrich,ABMPS,,Gmelin,Johann Friedrich
【空】,J. -F. Leroy,J.-F.Leroy,"Leroy, Jean-F.",Leroy Jean-F.,S,,Leroy,Jean-F.
【空】,J. F. Macbr.,J.F.Macbr.,"Macbride, James",Macbride James,S,,Macbride,James
【空】,J. F. Maxwell,J.F.Maxwell,"Maxwell, J. F.",Maxwell J. F.,S,,Maxwell,J. F.
【空】,J. F. Watson,J.F.Watson,"Watson, John Forbes",Watson John Forbes,S,,Watson,John Forbes
【空】,J. G. Gmel.,J.G.Gmel.,"Gmelin, Johann Georg",Gmelin Johann Georg,S,,Gmelin,Johann Georg
【空】,J. G. Sm.,J.G.Sm.,"Smith, Jared Gage",Smith Jared Gage,PS,,Smith,Jared Gage
【空】,J. H. Pak,J.H.Pak,,,,,,
【空】,J. H. Schultes,J.H.Schultes,,,,,,
【空】,J. H. Veitch,J.H.Veitch,"Veitch, James Herbert",Veitch James Herbert,S,,Veitch,James Herbert
【空】,J. H. Wilce,J.H.Wilce,"Wilce, Joan Hubbell",Wilce Joan Hubbell,P,,Wilce,Joan Hubbell
【空】,J. J. Sm.,J.J.Sm.,"Smith, Johannes Jacobus",Smith Johannes Jacobus,S,,Smith,Johannes Jacobus
【空】,J. J. Vassil.,J.J.Vassil.,"Vassiljev, Ja. Ja.",Vassiljev Ja. Ja.,S,,Vassiljev,Ja. Ja.
【空】,J. J. Wood,J.J.Wood,"Wood, Jeffrey James",Wood Jeffrey James,S,,Wood,Jeffrey James
【空】,J. K. Liu,J.K.Liu,"Liu, J. K.",Liu J. K.,S,,Liu,J. K.
【空】,J. K. Morton,J.K.Morton,"Morton, John Kenneth",Morton John Kenneth,S,,Morton,John Kenneth
,Z. X. Chen,Z.X.Chen,"Chen, Zhao Xuan",Chen Zhao Xuan,M,,Chen,Zhao Xuan
,Z. X. Li,Z.X.Li,"Li, Zong Xiu",Li Zong Xiu,S,,Li,Zong Xiu
,Z. Y. Li,Z.Y.Li,"Li, Z.Y.",Li Z.Y.,M,,Li,Z.Y.
,Z. Y. Zhang,Z.Y.Zhang,"Zhang, Zhong Yi",Zhang Zhong Yi,M,,Zhang,Zhong Yi
【空】,Zabel,Zabel,"Zabel, Hermann",Zabel Hermann,PS,,Zabel,Hermann
【空】,Zahn,Zahn,"Zahn, Rudolf",Zahn Rudolf,A,,Zahn,Rudolf
【空】,Zaik.,Zaik.,"Zaikonnikova, T. I.",Zaikonnikova T. I.,S,,Zaikonnikova,T. I.
【空】,Zakirov,Zakirov,"Zakirov, K. Z.",Zakirov K. Z.,S,,Zakirov,K. Z.
【空】,H. J. Veitch,H.J.Veitch,"Veitch, Harry James",Veitch Harry James,PS,,Veitch,Harry James
【空】,H. J. P. Winkl.,H.J.P.Winkl.,"Winkler, Hubert J. P.",Winkler Hubert J. P.,S,,Winkler,Hubert J. P.
【空】,H. L. Wendl.,H.L.Wendl.,"Wendland, Heinrich Ludolph",Wendland Heinrich Ludolph,S,,Wendland,Heinrich Ludolph
【空】,H. R. Wehrh.,H.R.Wehrh.,"Wehrhahn, Heinrich Rudolf",Wehrhahn Heinrich Rudolf,S,,Wehrhahn,Heinrich Rudolf
【空】,H. P. Fuchs,H.P.Fuchs,"Fuchs, Hans Peter",Fuchs Hans Peter,PS,,Fuchs,Hans Peter
【空】,H. R. Fletcher,H.R.Fletcher,"Fletcher, Harold Roy",Fletcher Harold Roy,S,,Fletcher,Harold Roy
【空】,H. R. Qi,H.R.Qi,"Qi, Hui Rong",Qi Hui Rong,S,,Qi,Hui Rong
【空】,H. R. Sweet,H.R.Sweet,"Sweet, Herman Royden",Sweet Herman Royden,S,,Sweet,Herman Royden
【空】,H. S. Irwin,H.S.Irwin,"Irwin, Howard Samuel",Irwin Howard Samuel,S,,Irwin,Howard Samuel
【空】,H. T. Ho,H.T.Ho,"Ho, Huei Tin",Ho Huei Tin,S,,Ho,Huei Tin
【空】,D. G. Long,D.G.Long,"Long, David Geoffrey",Long David Geoffrey,BS,,Long,David Geoffrey
【空】,D. J. Middleton,D.J.Middleton,"Middleton, David John",Middleton David John,S,,Middleton,David John
【空】,D. K. Ferguson,D.K.Ferguson,"Ferguson, David Kay",Ferguson David Kay,S,,Ferguson,David Kay
【空】,D. M. Verma,D.M.Verma,"Verma, D. M.",Verma D. M.,S,,Verma,D. M.
【空】,D. R. Dewey,D.R.Dewey,"Dewey, Chester",Dewey Chester,S,,Dewey,Chester
【空】,D. R. Hunt,D.R.Hunt,"Hunt, David Richard",Hunt David Richard,S,,Hunt,David Richard
【空】,Lauterb.,Lauterb.,"Lauterbach, Carl (Karl) Adolf Georg",Lauterbach Carl (Karl) Adolf Georg,BPS,,Lauterbach,Carl (Karl) Adolf Georg
【空】,Lavallée,Lavallée,"Lavallée, Pierre Alphonse Martin",Lavallée Pierre Alphonse Martin,S,,Lavallée,Pierre Alphonse Martin
【空】,Lavrova,Lavrova,"Lavrova, T. V.",Lavrova T. V.,S,,Lavrova,T. V.
【空】,Laws.,Laws.,"Lawson, Charles？",Lawson Charles？,,,Lawson,Charles？
【空】,Lawrance,Lawrance,"Lawrance, Mary",Lawrance Mary,S,,Lawrance,Mary
【空】,C. Lawson,C.Lawson,"Lawson, Charles",Lawson Charles,S,,Lawson,Charles
【空】,Laxm.,Laxm.,"Laxmann, Erich (Erik) G.",Laxmann Erich (Erik) G.,S,,Laxmann,Erich (Erik) G.
【空】,Layens,Layens,"Layens, George de",Layens George de,S,,Layens,George de
【空】,H. Lév.,H.Lév.,"Léveillé, Augustin Abel Hector",Léveillé Augustin Abel Hector,PS,,Léveillé,Augustin Abel Hector
【空】,Lecomte,Lecomte,"Lecomte, Paul Henri",Lecomte Paul Henri,PS,,Lecomte,Paul Henri
【空】,Leconte,Leconte,"Leconte, John (Eatton)",Leconte John (Eatton),S,,Leconte,John (Eatton)
【空】,Lecoy.,Lecoy.,"Lecoyer, Joseph Cyprien",Lecoyer Joseph Cyprien,S,,Lecoyer,Joseph Cyprien
【空】,Ledeb.,Ledeb.,"Ledebour, Carl (Karl) Friedrich von",Ledebour Carl (Karl) Friedrich von,PS,,Ledebour,Carl (Karl) Friedrich von
