中文名,标准缩写,去掉空格的缩写,全名,全名，把逗号换成了空格,专长类群,工作单位,姓,名
【空】,M. Zhang,M.Zhang,"Zhang, Mu",Zhang Mu,M,,Zhang,Mu
【空】,Hortorum,Hortorum,,,,,,
【空】,Ishigami,Ishigami,,,,,,
【空】,Elena Ilyinichna,ElenaIlyinichna,Elena Ilyinichna,Elena Ilyinichna,,,Elena Ilyinichna,
【空】,X. Y. Wu,X.Y.Wu,"Wu, X. Y.",Wu X. Y.,S,,Wu,X. Y.
【空】,S. Y. He,S.Y.He,"He, S. Y.",He S. Y.,S,,He,S. Y.
【空】,Wild,Wild,"Wild, Hiram",Wild Hiram,S,,Wild,Hiram
【空】,Wilensky,Wilensky,"Wilensky, D. G.",Wilensky D. G.,S,,Wilensky,D. G.
【空】,Willd.,Willd.,"Willdenow, Carl Ludwig von",Willdenow Carl Ludwig von,AMPS,,Willdenow,Carl Ludwig von
【空】,Willemet,Willemet,"Willemet, (Pierre) Remi",Willemet (Pierre) Remi,S,,Willemet,(Pierre) Remi
【空】,R. H. Williams,R.H.Williams,,,,,,
【空】,Willk.,Willk.,"Willkomm, Heinrich Moritz",Willkomm Heinrich Moritz,MPS,,Willkomm,Heinrich Moritz
【空】,Wilmot-Dear,Wilmot-Dear,"Wilmot-Dear, Christine Melanie",Wilmot-Dear Christine Melanie,S,,Wilmot-Dear,Christine Melanie
【空】,Worosch.,Worosch.,,,,,,
【空】,Winkler,Winkler,"Winkler, Constantin (Konstantin) Georg Alexander",Winkler Constantin (Konstantin) Georg Alexander,S,,Winkler,Constantin (Konstantin) Georg Alexander
【空】,Witasek,Witasek,"Witasek, Johanna A.",Witasek Johanna A.,S,,Witasek,Johanna A.
【空】,With.,With.,"Withering, William",Withering William,ABMPS,,Withering,William
【空】,Wittm.,Wittm.,"Wittmack, (Marx Carl) Ludwig (Ludewig)",Wittmack (Marx Carl) Ludwig (Ludewig),MS,,Wittmack,(Marx Carl) Ludwig (Ludewig)
【空】,H. Wolff,H.Wolff,"Wolff, Karl Friedrich August Hermann",Wolff Karl Friedrich August Hermann,MS,,Wolff,Karl Friedrich August Hermann
【空】,Woodson,Woodson,"Woodson, Robert Everard",Woodson Robert Everard,S,,Woodson,Robert Everard
【空】,Woodcock,Woodcock,"Woodcock, Hubert Bayley Drysdale",Woodcock Hubert Bayley Drysdale,S,,Woodcock,Hubert Bayley Drysdale
【空】,Wormsk.,Wormsk.,"Wormski?ld, Morten",Wormski?ld Morten,AMS,,Wormski?ld,Morten
【空】,Woronow,Woronow,"Woronow, Georg Jurij Nikolaewitch",Woronow Georg Jurij Nikolaewitch,BMS,,Woronow,Georg Jurij Nikolaewitch
【空】,Woyn.,Woyn.,"Woynar, Heinrich Karl",Woynar Heinrich Karl,PS,,Woynar,Heinrich Karl
【空】,C. H. Wright,C.H.Wright,"Wright, Charles Henry",Wright Charles Henry,APS,,Wright,Charles Henry
【空】,Wulfen,Wulfen,"Wulfen, Franz Xavier von",Wulfen Franz Xavier von,AMPS,,Wulfen,Franz Xavier von
【空】,Wurmb,Wurmb,"Wurmb, Friedrich von",Wurmb Friedrich von,S,,Wurmb,Friedrich von
【空】,Wuzhi,Wuzhi,Wuzhi,Wuzhi,S,,Wuzhi,
【空】,X. W. Wei,X.W.Wei,"Wei, X. W.",Wei X. W.,S,,Wei,X. W.
【空】,Z. J. Tang,Z.J.Tang,"Tang, Zhi Jie",Tang Zhi Jie,A,,Tang,Zhi Jie
【空】,Z. J. Yu,Z.J.Yu,"Yu, Ze Jun",Yu Ze Jun,S,,Yu,Ze Jun
【空】,S. G. Gmel.,S.G.Gmel.,"Gmelin, Samuel Gottlieb",Gmelin Samuel Gottlieb,APS,,Gmelin,Samuel Gottlieb
【空】,S. G. Haw,S.G.Haw,,,,,,
【空】,S. K. Jain,S.K.Jain,"Jain, Sudhanshu Kumar",Jain Sudhanshu Kumar,S,,Jain,Sudhanshu Kumar
【空】,S. M. Huang,S.M.Huang,"Huang, S. M.",Huang S. M.,S,,Huang,S. M.
【空】,S. M. Phillips,S.M.Phillips,"Phillips, Sylvia Mabel",Phillips Sylvia Mabel,S,,Phillips,Sylvia Mabel
【空】,T. R. Dudley,T.R.Dudley,"Dudley, Theodore ('Ted') Robert",Dudley Theodore ('Ted') Robert,S,,Dudley,Theodore ('Ted') Robert
【空】,T. V. Egorova,T.V.Egorova,"Egorova, Tatiana V.",Egorova Tatiana V.,S,,Egorova,Tatiana V.
【空】,Tagawa,Tagawa,"Tagawa, Motozi",Tagawa Motozi,PS,,Tagawa,Motozi
【空】,Tagg,Tagg,"Tagg, Harry Frank",Tagg Harry Frank,S,,Tagg,Harry Frank
【空】,Takeda,Takeda,"Takeda, Hisayoshi",Takeda Hisayoshi,APS,,Takeda,Hisayoshi
【空】,Taken.,Taken.,,,,,,
【空】,Takenouchi,Takenouchi,,,,,,
【空】,Takht.,Takht.,"Takhtadjan, Armen Lenovich",Takhtadjan Armen Lenovich,PS,,Takhtadjan,Armen Lenovich
【空】,Tamamsch.,Tamamsch.,"Tamamschian, Sophia G",Tamamschian Sophia G,S,,Tamamschian,Sophia G
【空】,Tanaka,Tanaka,"Tanaka, Ty?zabur?",Tanaka Ty?zabur?,MS,,Tanaka,Ty?zabur?
【空】,Tardieu,Tardieu,"Tardieu-Blot, Marie-Laure",Tardieu-Blot Marie-Laure,PS,,Tardieu-Blot,Marie-Laure
【空】,Taschner,Taschner,"Taschnereau, Pierre Michel",Taschnereau Pierre Michel,S,,Taschnereau,Pierre Michel
【空】,Tate,Tate,"Tate, Ralph",Tate Ralph,S,,Tate,Ralph
【空】,A. Reyn.,A.Reyn.,"Reynier, Alfred",Reynier Alfred,S,,Reynier,Alfred
【空】,Heyw.,Heyw.,,,,,,
【空】,Hickel,Hickel,"Hickel, Paul Robert",Hickel Paul Robert,S,,Hickel,Paul Robert
【空】,Covas,Covas,"Covas, Guillermo",Covas Guillermo,S,,Covas,Guillermo
【空】,Xifreda,Xifreda,"Xifreda, Cecilia C.",Xifreda Cecilia C.,S,,Xifreda,Cecilia C.
【空】,Hara,Hara,"Hara, Kanesuke",Hara Kanesuke,MS,,Hara,Kanesuke
